;Classe;Département;Nombre individus
482;1906;saone-et-loire;4845
483;1896;tarn-et-garonne;1628
484;1906;sarthe;4011
485;1906;savoie;0
486;1896;territoire+de+belfort;2395
487;1891;vendee;3055
488;1906;seine-et-marne;2709
489;1906;seine-maritime;7814
490;1896;var;0
491;1906;somme;1569
492;1906;tarn;3095
493;1896;vaucluse;1806
494;1891;vienne;1765
495;1906;tarn-et-garonne;1399
496;1906;territoire+de+belfort;2104
497;1896;vendee;3961
498;1906;var;1965
499;1906;vaucluse;1673
500;1896;vienne;2248
501;1891;vosges;3320
502;1906;vendee;3847
503;1906;vienne;1701
504;1896;vosges;4516
505;1906;vosges;4235
506;1906;yonne;2590
507;1897;ain;659
508;1891;yvelines;3679
509;1907;alpes-maritimes;2052
510;1897;aisne;1222
511;1907;archives+diplomatiques;320
512;1907;archives+nationales+d%27outre+mer;9412
513;1897;allier;0
514;1892;ain;299
515;1907;ardeche;1993
516;1907;ardennes;2499
517;1897;alpes-de-haute-provence;1229
518;1907;ariege;1579
519;1907;aube;229
520;1897;alpes-maritimes;0
521;1892;aisne;1161
522;1907;aude;2444
523;1907;aveyron;0
524;1897;archives+diplomatiques;0
525;1907;bas-rhin;2937
526;1907;bouches-du-rhone;4316
527;1897;archives+nationales+d%27outre+mer;6444
528;1892;allier;0
529;1907;calvados;0
530;1907;cantal;1888
531;1897;ardeche;2051
532;1907;charente;4333
533;1907;charente-maritime;3178
534;1907;cher;64
535;1897;ariege;1573
536;1905;yonne;2571
537;1909;calvados;0
538;1914;moselle;3135
539;1914;nievre;2730
540;1909;cantal;2187
541;1914;puy-de-dome;1632
542;1914;orne;2902
543;1905;yvelines;5313
544;1909;charente;5465
545;1914;seine-maritime;8527
546;1914;somme;4270
547;1909;charente-maritime;3317
548;1914;vendee;3783
549;1914;saone-et-loire;5256
550;1896;ille-et-vilaine;5844
551;1909;cher;86
552;1915;archives+diplomatiques;450
553;1909;correze;3240
554;1915;aude;2275
555;1915;ardennes;3299
556;1906;ain;389
557;1909;corse;2745
558;1915;cher;97
559;1915;correze;2915
560;1909;cote+d%27or;0
561;1915;dordogne;3758
562;1914;yvelines;6437
563;1906;aisne;1065
564;1909;cotes+d%27armor;3948
565;1915;haut-rhin;3218
